Rank,CCA3,Country,Capital,Continent,Area,Density,GrowthRate,WorldPopPercent,1970pop,1980pop,1990pop,2000pop,2010pop,2015pop,2020pop,2022pop
36,AFG,Afghanistan,Kabul,Asia,652230,63.0587,1.0257,0.52,10752971,12486631,10694796,19542982,28189672,33753499,38972230,41128771
138,ALB,Albania,Tirana,Europe,28748,98.8702,0.9957,0.04,2324731,2941651,3295066,3182021,2913399,2882481,2866849,2842321
34,DZA,Algeria,Algiers,Africa,2381741,18.8531,1.0164,0.56,13795915,18739378,25518074,30774621,35856344,39543154,43451666,44903225
213,ASM,American Samoa,Pago Pago,Oceania,199,222.4774,0.9831,0,27075,32886,47818,58230,54849,51368,46189,44273
203,AND,Andorra,Andorra la Vella,Europe,468,170.5641,1.01,0,19860,35611,53569,66097,71519,71746,77700,79824
42,AGO,Angola,Luanda,Africa,1246700,28.5466,1.0315,0.45,6029700,8330047,11828638,16394062,23364185,28127721,33428485,35588987
224,AIA,Anguilla,The Valley,North America,91,174.2527,1.0066,0,6283,6560,8316,11047,13172,14525,15585,15857
201,ATG,Antigua and Barbuda,Saint John’s,North America,442,212.1335,1.0058,0,64516,64888,63328,75055,85695,89941,92664,93763
33,ARG,Argentina,Buenos Aires,South America,2780400,16.3683,1.0052,0.57,23842803,28024803,32637657,37070774,41100123,43257065,45036032,45510318
140,ARM,Armenia,Yerevan,Asia,29743,93.4831,0.9962,0.03,2534377,3135123,3556539,3168523,2946293,2878595,2805608,2780469
198,ABW,Aruba,Oranjestad,North America,180,591.3611,0.9991,0,59106,62267,65712,89101,100341,104257,106585,106445
55,AUS,Australia,Canberra,Oceania,7692024,3.4032,1.0099,0.33,12595034,14706322,17048003,19017963,22019168,23820236,25670051,26177413
99,AUT,Austria,Vienna,Europe,83871,106.5877,1.002,0.11,7465301,7547561,7678729,8010428,8362829,8642421,8907777,8939617
91,AZE,Azerbaijan,Baku,Asia,86600,119.6082,1.0044,0.13,5425317,6383060,7427836,8190337,9237202,9863480,10284951,10358074
176,BHS,Bahamas,Nassau,North America,13943,29.4043,1.0051,0.01,179129,223752,270679,325014,373272,392697,406471,409984
154,BHR,Bahrain,Manama,Asia,765,1924.4876,1.0061,0.02,222555,362595,517418,711442,1213645,1362142,1477469,1472233
8,BGD,Bangladesh,Dhaka,Asia,147570,1160.035,1.0108,2.15,67541860,83929765,107147651,129193327,148391139,157830000,167420951,171186372
186,BRB,Barbados,Bridgetown,North America,430,654.9651,1.0015,0,241397,253575,258868,264657,274711,278083,280693,281635
96,BLR,Belarus,Minsk,Europe,207600,45.9295,0.9955,0.12,9170786,9817257,10428525,10256483,9731427,9700609,9633740,9534954
81,BEL,Belgium,Brussels,Europe,30528,381.8111,1.0038,0.15,9629376,9828986,9959560,10264343,10877947,11248303,11561717,11655930
177,BLZ,Belize,Belmopan,North America,22966,17.6466,1.0131,0.01,120905,145133,182589,240406,322106,359871,394921,405272
77,BEN,Benin,Porto-Novo,Africa,112622,118.5635,1.0274,0.17,3023443,3833939,5133419,6998023,9445710,10932783,12643123,13352864
206,BMU,Bermuda,Hamilton,North America,54,1188.5926,1,0,52019,53565,57470,61371,63447,63144,64031,64184
165,BTN,Bhutan,Thimphu,Asia,38394,20.3796,1.0064,0.01,298894,415257,558442,587207,705516,743274,772506,782455
80,BOL,Bolivia,Sucre,South America,1098581,11.1272,1.012,0.15,4585693,5736088,7096194,8592656,10223270,11090085,11936162,12224110
137,BIH,Bosnia and Herzegovina,Sarajevo,Europe,51209,63.1437,0.9886,0.04,3815561,4199820,4494310,4179350,3811088,3524324,3318407,3233526
144,BWA,Botswana,Gaborone,Africa,582000,4.5194,1.0162,0.03,592244,938578,1341474,1726985,2091664,2305171,2546402,2630296
7,BRA,Brazil,Brasilia,South America,8515767,25.2841,1.0046,2.7,96369875,122288383,150706446,175873720,196353492,205188205,213196304,215313498
221,VGB,British Virgin Islands,Road Town,North America,151,207.3179,1.0059,0,9581,11109,15617,20104,27556,29366,30910,31305
